title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Harry Potter and the Order of the Phoenix  ,2007,PG-13,138," Action, Adventure, Family            ",7.5,71,    David Yates  ,      Daniel Radcliffe,   Emma Watson,   Rupert Grint,   Brendan Gleeson  ,515564,292000000
    Secondhand Lions  ,2003,PG,109," Comedy, Drama, Family            ",7.5,0,    Tim McCanlies  ,      Haley Joel Osment,   Michael Caine,   Ro ert Duvall,   Kyra Sedgwick  ,52749,41410000
    Whale Rider  ,2002,PG-13,101," Drama, Family            ",7.5,80,    Niki Caro  ,      Keisha Castle-Hughes,   Rawiri Paratene,   Vicky Haughton,   Cliff Curtis  ,39650,20780000
    Ice Age  ,2002,PG,81," Animation, Adventure, Comedy            ",7.5,0,    Chris Wedge   ,       Denis Leary,   John Leguizamo,   Ray Romano,   Goran Visnjic    ,444809,176390000
    Onward  ,2020,PG,102," Animation, Adventure, Comedy            ",7.4,61,    Dan Scanlon  ,      Tom Holland,   Chris Pratt,   Julia Louis-Dreyfus,   Octavia Spencer  ,105678,61560000
    A Street Cat Named Bo   ,2016,Not Rated,103," Biography, Drama, Family            ",7.4,0,    Roger Spottiswoode  ,      Luke Treadaway,   Bo  the Cat,   Ruta Gedmintas,   Joanne Froggatt  ,28461,40000
    The Jungle Book  ,2016,PG,106," Adventure, Drama, Family            ",7.4,77,    Jon Favreau  ,      Neel Sethi,   Bill Murray,   Ben Kingsley,   Idris El a  ,260328,364000000
    Frozen  ,2013,PG,102," Animation, Adventure, Comedy            ",7.4,75,    Chris Buck   ,       Kristen Bell,   Idina Menzel,   Jonathan Groff,   Josh Gad    ,575880,400740000
    The Kid with a Bike  ,2011,PG-13,87," Drama, Family            ",7.4,87,    Jean-Pierre Dardenne   ,       Thomas Doret,   Ccile de France,   Jrmie Renier,   Fa rizio Rongione    ,26468,1380000
    From Up on Poppy Hill  ,2011,PG,91," Animation, Drama, Family            ",7.4,71,    Gor Miyazaki  ,      Sarah Bolger,   Chris Noth,   Anton Yelchin,   Christina Hendricks  ,36339,1000000
    Eddie the Eagle  ,2015,PG-13,106," Biography, Comedy, Drama            ",7.4,0,    Dexter Fletcher  ,      Taron Egerton,   Hugh Jackman,   Tom Costello,   Jo Hartley  ,86450,15790000
    My Sister' s Keeper  ,2009,PG-13,109," Drama, Family            ",7.4,0,    Nick Cassavetes  ,      Cameron Diaz,   A igail Breslin,   Alec Baldwin,   Walter Raney  ,89901,49200000
    Wallace & Gromit: The Curse of the Were-Ra  it  ,2005,G,85," Animation, Adventure, Comedy            ",7.4,87,    Steve Box   ,       Peter Sallis,   Helena Bonham Carter,   Ralph Fiennes,   Peter Kay    ,126275,56110000
    Harry Potter and the Cham er of Secrets  ,2002,PG,161," Adventure, Family, Fantasy            ",7.4,63,    Chris Colum us  ,      Daniel Radcliffe,   Rupert Grint,   Emma Watson,   Richard Harris  ,559424,261990000
    The Emperor' s New Groove  ,2000,G,78," Animation, Adventure, Comedy            ",7.4,70,    Mark Dindal  ,      David Spade,   John Goodman,   Eartha Kitt,   Patrick War urton  ,182090,89300000
    Christopher Ro in  ,2018,PG,104," Adventure, Comedy, Drama            ",7.3,0,    Marc Forster  ,      Ewan McGregor,   Hayley Atwell,   Bronte Carmichael,   Mark Gatiss  ,69637,99220000
    The Lego Batman Movie  ,2017,PG,104," Animation, Action, Comedy            ",7.3,75,    Chris McKay  ,      Will Arnett,   Michael Cera,   Rosario Dawson,   Ralph Fiennes  ,132086,175750000
    Fantastic Beasts and Where to Find Them  ,2016,PG-13,132," Adventure, Family, Fantasy            ",7.3,66,    David Yates  ,      Eddie Redmayne,   Katherine Waterston,   Alison Sudol,   Dan Fogler  ,413851,234040000
    Shaun the Sheep Movie  ,2015,PG,85," Animation, Adventure, Comedy            ",7.3,81,    Mark Burton   ,       Justin Fletcher,   John Sparkes,   Omid Djalili,   Richard We  er    ,37523,19380000
